cluster_0	7omm_D_NA_A
cluster_533	4mhh_G_I_C 4mhh_H_L_E 4mhh_J_K_A 4mhj_F_E_C 4mhj_H_L_A 4mhj_K_J_G 4mhj_R_Q_O 4mhj_T_X_M 4mhj_W_V_S
cluster_534	4n0y_H_L_A
cluster_535	4nzt_H_L_M 6cnv_H_L_B
cluster_536	4q6i_B_A_K 4q6i_E_D_J 4q6i_G_F_I 4q6i_H_L_C
cluster_537	4xnz_B_C_A 4xnz_E_F_D 4xnz_H_L_G
cluster_538	5b71_B_A_E 5b71_D_C_F
cluster_539	5bk0_B_A_E
cluster_540	5bv7_H_L_A
cluster_541	5c0r_H_L_A
cluster_542	5dfw_H_h_A
cluster_543	5g64_H_L_A 5hys_A_B_G 5hys_C_D_K 5hys_E_F_J 5hys_H_L_I 7shy_C_D_A 7shy_E_F_B 7shy_I_J_G 7shy_K_L_H 7shz_C_D_A 7shz_E_F_B 7shz_I_J_G 7shz_K_L_H 7si0_C_D_A 7si0_E_F_B 7si0_I_J_G 7si0_K_L_H
cluster_544	5occ_H_L_A
cluster_545	5otj_B_A_D 5otj_H_L_C
cluster_546	5y9f_L_K_A 5y9f_N_M_B 5y9f_P_O_C 5y9f_R_Q_D 5y9f_T_S_E 5y9f_V_U_F 5y9f_X_W_G 5y9f_Z_Y_H 5y9f_b_a_I 5y9f_d_c_J
cluster_547	6a67_C_D_B 6a67_H_L_A
cluster_548	6b0h_B_A_J 6b0h_D_C_I
cluster_549	6bck_H_L_G
cluster_550	6cez_H_L_P
cluster_551	6d01_A_B_I 6d01_C_D_I 6d01_E_F_J 6d01_G_H_J
cluster_552	6ddv_B_A_C
cluster_553	6dkj_A_B_D 6dkj_H_L_C
cluster_554	6elu_B_C_A 6elu_E_F_D 6elu_H_I_G 6elu_K_L_J
cluster_555	5zv3_H_L_A 6gk8_H_L_I
cluster_556	6hx4_H_L_B
cluster_557	6mqc_A_B_D 6mqc_H_L_C 6nf2_H_L_B 6nf2_O_P_I 6nf2_W_X_R
cluster_558	6mph_1_2_6 6mph_3_4_E 6mph_H_L_D 6mqm_A_B_C 6mqm_D_E_F 6mqm_G_H_I 6mqm_J_K_L
cluster_559	6n5b_H_L_B
cluster_560	6o41_B_A_N 6o42_B_A_I 6o42_H_L_G
cluster_561	6pbv_B_A_G 6pbv_D_C_I
cluster_562	6rcu_B_C_A
cluster_563	6ss2_H_L_A 6ss6_H_L_A 6ss6_I_M_B
cluster_564	5vlp_H_L_A 6u2f_H_L_A 6u3i_H_L_A
cluster_565	6w41_H_L_C 6xc3_H_L_C 6xc7_H_L_A 6yla_B_C_A 6yla_H_L_E 6ym0_H_L_E 6yor_B_C_A 6yor_H_L_E 6z2m_B_C_A 6z2m_H_L_E 6zh9_H_L_E 6zlr_B_C_A 6zlr_F_G_D 6zlr_H_L_E 7a5r_H_L_A 7a5r_I_M_B 7a5s_H_L_A 7a5s_I_M_B 7jn5_H_L_F 7lop_B_C_A 7lop_W_V_Z 7m6d_A_B_C 7qez_E_F_A 7r8l_C_D_E 8dw2_H_L_B 8dw3_H_L_B
cluster_566	6wgl_A_B_C
cluster_567	6whk_C_B_A
cluster_568	6wmw_M_N_B
cluster_569	6x7w_A_C_D 6x7w_H_L_G
cluster_570	6xkq_H_L_A
cluster_571	7amp_H_L_B 7amq_H_L_B 7amr_H_L_B 7ams_H_L_B
cluster_572	7cbp_R_S_N
cluster_573	7czp_H_L_A 7czp_J_N_C 7sts_H_L_C
cluster_574	7dha_C_B_A 8as0_H_G_I 8as0_K_J_L 8as0_N_M_O 8as0_Q_P_R 8as0_T_S_Y
cluster_575	7dk0_A_B_C
cluster_576	7ean_H_L_A
cluster_577	7fae_H_L_A 7fae_e_d_B 7fae_h_g_C 7faf_H_L_C 7faf_d_c_A 7faf_g_f_B 7fjc_H_L_E
cluster_578	7jw0_D_C_B 7jw0_G_F_E 7jw0_H_L_A 7jx3_H_L_R 7l0n_H_L_R 7l0n_M_N_S 7tn0_H_G_I 7tn0_M_N_S 7x1m_H_L_M 7xcp_H_L_B 8df5_H_L_R 8df5_M_N_S
cluster_579	7klc_H_L_A
cluster_580	7kqk_A_B_C 7kqk_H_L_P
cluster_581	7l2c_C_D_B 7l2c_H_L_A
cluster_582	7lf7_A_B_M 7lf7_H_L_K 7lf8_H_L_A
cluster_583	7m7w_C_D_S 7m7w_E_F_R
cluster_584	4zyp_D_E_C 4zyp_F_G_B 4zyp_H_I_A 7mmn_D_E_B 7mmn_H_L_I 7mmn_M_G_K
cluster_585	7mrz_X_Y_C 7oly_H_L_C
cluster_586	7mzj_H_L_A 7mzj_N_M_B
cluster_587	7phu_B_C_A
cluster_588	6xdg_C_A_E 7rks_H_L_R 7rks_I_M_S 7rkv_D_H_B 7rkv_E_F_A 7rkv_G_L_C
cluster_589	7rlv_A_B_P 7rlv_C_D_R 7rlv_E_F_Q 7rlw_A_B_P 7rlw_C_D_R 7rlx_A_B_P 7rly_A_B_Q 7rly_C_D_P 7rly_E_F_R 7rlz_A_B_P 7rlz_D_C_R
cluster_590	7rm1_A_B_P 7rm1_C_D_P 7rm3_A_B_Q 7rm3_C_D_P
cluster_591	7rxl_C_D_F 7rxl_H_L_E
cluster_592	7s1b_H_L_A
cluster_593	7sk3_F_E_A 7sk4_F_E_A 7sk5_F_E_A 7sk6_F_E_A 7sk8_F_E_A 7sk9_F_E_A
cluster_594	6ieb_H_L_A 7str_H_L_C
cluster_595	7ch5_H_L_R 7chc_H_L_R 7e88_A_B_C 7e88_D_E_F 7e88_G_H_I 7e88_J_K_L 7u0q_G_F_A 7u0q_J_I_C
cluster_596	7v5j_E_D_A 7v5j_G_F_C 7v5j_I_H_B 7v5k_E_D_A 7v5k_G_F_C 7v5k_I_H_B
cluster_597	7zbu_H_L_A
cluster_598	8cz5_H_L_A
cluster_599	8d6z_A_B_H 8d6z_C_D_K 8d6z_E_F_J 8d6z_G_I_L
cluster_600	4jdt_H_L_G 4jpk_H_L_A 5fec_A_B_D 5fec_H_L_I 6d2p_H_L_C 6mft_A_B_C 6mft_H_L_G 6p8m_H_L_C 6p8n_B_D_A 6p8n_H_L_C 7mzh_B_C_A 7mzh_H_L_E 8e1p_F_I_E 8e1p_H_L_G 8e1p_N_O_M
cluster_601	1acy_H_L_P 1ai1_H_L_P
cluster_602	1fbi_H_L_X 1fbi_Q_P_Y
cluster_603	1ken_H_L_A
cluster_604	1nca_H_L_N 1ncb_H_L_N 1ncc_H_L_N 1ncd_H_L_N
cluster_605	1ors_B_A_C 2a0l_D_C_A 2a0l_F_E_B
cluster_606	1pkq_B_A_E 1pkq_G_F_J
cluster_607	1rjl_B_A_C
cluster_608	2igf_H_L_P
cluster_609	2r56_H_L_A 2r56_I_M_B
cluster_610	2vir_B_A_C 2vis_B_A_C 2vit_B_A_C 7jti_H_L_A
cluster_611	2vxs_H_L_B 2vxs_I_M_A 2vxs_J_N_D 2vxs_K_O_C 4qhu_H_L_C 5hhx_H_L_A 5hi3_C_D_A 5hi3_H_L_B 5hi4_C_D_B 5hi4_H_L_A 5hi5_C_D_A 5hi5_H_L_B 8as0_B_C_A 8as0_E_D_F
cluster_612	2x7l_A_B_O 2x7l_C_D_P 2x7l_E_F_R 2x7l_G_I_M 2x7l_H_L_N 2x7l_J_K_Q 5dhv_A_B_N 5dhv_H_L_M 5dhx_B_b_C 5dhx_L_l_M 5dhy_A_B_C 5dhy_H_L_M 5dhz_H_L_M
cluster_613	3fmg_H_L_A
cluster_614	3fn0_H_L_P 3q1s_H_L_I
cluster_615	3ixx_G_H_A 3ixy_G_H_A 3ixy_I_J_B
cluster_616	3jab_H_L_C 3jab_Q_R_O 3jbq_H_L_F 3jbq_h_l_B 7ew5_B_C_M 7ew5_E_F_A 7ew5_H_I_D 7ew5_K_L_G 7ew5_N_O_J 7ew5_Q_R_b 7ew5_T_U_P 7ew5_W_X_S 7ew5_Z_a_V 7ew5_g_j_Y
cluster_617	3nh7_I_M_B 3nh7_J_N_C 3nh7_K_O_D
cluster_618	3opz_H_L_A 3opz_I_M_B 3opz_J_N_C
cluster_619	3u7y_H_L_G 4jkp_H_L_G 5wdu_D_E_G 5wdu_O_P_F 5wdu_W_X_Q
cluster_620	3ubx_G_I_D 3ubx_H_L_A
cluster_621	3v6z_A_B_F 3v6z_C_D_E
cluster_622	4aei_H_L_A 4aei_I_M_B 4aei_J_N_C
cluster_623	4cad_B_A_C 4cad_E_D_F 4cad_H_G_I 4cad_K_J_L
cluster_624	4dtg_H_L_K
cluster_625	4g6a_C_D_B 4g6a_H_L_A 6bzv_G_H_L 6bzw_A_B_J 6bzw_C_D_I 6bzw_E_F_K 6bzw_G_H_L
cluster_626	4g80_A_B_S 4g80_C_D_J 4g80_E_F_T 4g80_G_H_I 4rrp_K_E_Q 4xh2_H_L_h
cluster_627	4j6r_H_L_G
cluster_628	4k3j_H_L_B
cluster_629	4lsu_H_L_G
cluster_630	4jpv_H_L_G 4lsv_H_L_G 5v8l_G_K_C 5v8l_H_L_A 5v8l_I_M_D 5v8m_H_L_A 5v8m_R_T_F 5v8m_S_U_G 7ly9_A_M_K 7ly9_B_C_G 7ly9_E_I_D 7mxd_C_D_A 7mxd_J_K_F 7mxd_S_U_G 7n28_C_D_A 7n28_J_K_F 7n28_S_U_G 7pc2_G_H_C 7pc2_I_J_B 7pc2_K_L_A 8c8t_R_T_F 8c8t_S_U_G 9bew_C_D_G 9bew_F_I_A 9bew_O_P_M
cluster_631	4n8c_H_L_X 4n8c_I_M_Y
cluster_632	4np4_H_L_A 4np4_I_M_A
cluster_633	4oqt_H_L_A
cluster_634	4u0r_B_C_A 5mi0_B_C_A
cluster_635	4uta_H_L_B 4uta_I_M_A 5lbs_H_L_A 5lbs_I_M_B 7a3t_H_L_A 8cxg_1_2_B 8cxg_H_L_A 8cxg_h_l_C
cluster_636	4xwg_H_L_A 4xx1_E_G_B 4xx1_H_L_A 4xx1_M_O_J 5bv7_C_B_A
cluster_637	4zs6_C_D_B 4zs6_H_L_A
cluster_638	4zs7_H_L_A
cluster_639	4zto_H_L_P 4zto_I_M_Q
cluster_640	5c0s_H_L_A 8dim_B_C_A 8dim_E_F_D 8dim_H_I_G 8diu_E_F_B 8diu_G_C_D 8diu_H_I_A
cluster_641	5d1z_B_A_I 5d1z_G_H_J
cluster_642	5d9q_D_d_G 5d9q_I_i_A 5d9q_O_o_J
cluster_643	5dd0_H_L_P
cluster_644	5ezo_H_L_A
cluster_645	5fhc_A_B_J
cluster_646	5i5k_H_L_B 5i5k_X_Y_A
cluster_647	5k9o_A_B_F 5k9o_H_L_I
cluster_648	5kvd_H_L_E
cluster_649	5mvz_A_B_V 5mvz_H_L_U
cluster_650	5myo_B_A_E 7vgs_D_C_A 7vgs_F_E_B
cluster_651	5nmv_H_L_K
cluster_652	5tl5_H_L_A 5tlj_B_A_X 5tlk_B_A_X 5tlk_F_E_Y
cluster_653	5ugy_H_L_A 5ugy_I_M_C 5ugy_J_N_E
cluster_654	5ukr_H_L_G
cluster_655	5vag_C_B_A
cluster_656	5veb_A_B_X 5veb_H_L_Y
cluster_657	5xbm_B_A_C 5xbm_E_D_F
cluster_658	6al5_H_L_A
cluster_659	6azz_C_B_A 6azz_F_E_D 6b08_C_B_A
cluster_660	6b5l_H_L_A 6b5m_H_L_A 6b5n_H_L_A 6b5o_H_L_A 7lkb_B_C_D 7lkb_H_L_A 7lkg_A_B_C 7lkg_D_E_F 7raj_H_L_A 7rcs_A_B_D 7rcs_H_L_C 7rd4_A_B_I 7rd4_H_L_G 7rd9_H_L_C 7rda_H_L_C 7sg5_H_L_A 7sg6_H_L_A
cluster_661	6bqb_H_L_P
cluster_662	6cde_3_4_1 6cde_H_L_D 6cde_h_l_d 6cdp_A_B_C
cluster_663	6d11_A_B_E 6d11_C_D_E
cluster_664	6ddr_B_A_C
cluster_665	6hga_H_L_B
cluster_666	6kn9_D_d_A 6kn9_F_f_C
cluster_667	6m3c_F_E_C 6m3c_H_L_A 6m3c_K_J_G 6obd_B_A_E 6obd_H_L_F
cluster_668	6mtq_H_L_T
cluster_669	6n6b_K_L_A
cluster_670	6nip_A_B_E 6nip_H_L_Z
cluster_671	6p50_H_L_C
cluster_672	6p60_A_B_E 6p60_C_D_F 6p60_G_H_I 6p60_J_K_L
cluster_673	6pbw_D_C_E
cluster_674	6pdx_H_L_A 6pdx_M_N_B 6pdx_O_P_C
cluster_675	6u6u_H_L_R
cluster_676	6u9s_A_B_C 6u9s_D_E_F
cluster_677	6vbp_A_B_F 6vbp_C_D_E 6vbp_H_L_G 6vbp_J_I_K
cluster_678	6wn1_B_C_A 6wn1_E_F_D
cluster_679	6wn4_A_B_C 6wn4_H_L_D
cluster_680	6x1t_A_B_N 6x1t_C_D_O 6x1t_E_F_Q 6x1t_G_I_R 6x1t_H_L_M 6x1t_J_K_P
cluster_681	6xm2_B_A_L 6xm2_D_C_J 6xm2_F_E_I 6xm2_H_G_K
cluster_682	6xpq_B_C_A
cluster_683	6vtw_H_L_A 6ywc_A_B_C 6ywc_D_E_F
cluster_684	6z2l_C_B_A
cluster_685	6zcz_H_L_E 6zdg_B_C_A 6zdg_F_G_D 6zdg_H_L_E 6zdh_D_F_B 6zdh_G_I_C 6zdh_H_L_A 6zer_B_C_A 6zer_F_G_D 6zer_H_L_E 6zfo_B_C_A 6zfo_H_L_E 7nx6_H_L_E 7nx7_H_L_E 7nx8_H_L_E 7nx9_H_L_E 7nxa_H_L_E 7nxb_H_L_E 7qnw_H_L_E 7qnx_H_L_E 7zf3_H_L_E
cluster_686	6zvf_H_L_P
cluster_687	7cho_B_C_A 7cho_H_L_E
cluster_688	7dcc_A_F_K 7dcc_B_M_I 7dcc_D_H_E 7dcx_A_F_C 7dcx_B_G_D 7dcx_E_H_K 7dd2_A_B_C
cluster_689	7dm1_D_C_A 7dm1_F_E_B
cluster_690	7dr4_A_B_J 7dr4_H_L_K
cluster_691	7e3k_D_E_A 7e3k_F_G_B 7e3k_H_L_C 7e3l_D_E_A 7e3l_F_G_B 7e3l_H_L_C 7l7d_H_L_E 7l7e_A_B_G 7l7e_H_L_S 7l7e_I_J_K 7l7e_T_U_b 7mm0_H_L_A 7qti_F_E_A 7qtj_F_E_A 7swn_H_L_A 7tb8_H_L_A 7tcc_F_G_B 7tcc_J_K_A 7tcc_O_P_C 8d8q_C_B_A 8d8r_H_L_A
cluster_692	7m7w_A_B_S 7m7w_H_L_R 7ra8_C_D_B 7ra8_F_G_E 7ra8_H_L_A 7ral_H_L_B
cluster_693	7msq_D_E_B 7msq_H_L_A
cluster_694	7mxd_X_Y_F
cluster_695	7ncs_H_L_A 7nd0_H_L_A
cluster_696	7o31_H_L_P
cluster_697	7oh0_C_B_A
cluster_698	7phv_B_C_A 7phv_E_F_D 7pi3_D_E_A 7pi3_K_L_H 7pi3_R_S_O 7pi3_Y_Z_V
cluster_699	7ps7_A_B_E 7ps7_H_L_R
cluster_700	7qu1_A_B_C
cluster_701	7rfb_A_B_C 7rfb_H_L_D
cluster_702	7rfc_A_B_C 7rfc_H_L_D
cluster_703	7s0x_C_D_F 7s0x_H_L_E
cluster_704	5t5f_H_L_A 7sbz_A_B_D 7sbz_H_L_C
cluster_705	7sfx_A_B_E 7sfx_C_D_F
cluster_706	7sjn_D_E_B 7sjn_F_G_C 7sjn_H_L_A 7sjo_E_F_C 7sjo_H_L_A 7sjo_I_J_B 7sjp_H_L_E
cluster_707	7tuf_A_B_C 7tuf_H_L_D
cluster_708	7unb_H_L_R
cluster_709	7vad_H_L_A 7vae_H_L_A 7vaf_H_L_A 7vag_H_L_A 7wsi_H_L_A
cluster_710	7x26_H_K_I 7x29_F_G_C 7x29_H_K_B 7x2a_H_K_A
cluster_711	7z12_B_C_A
cluster_712	8dtx_A_B_G 8dtx_H_L_I
cluster_713	8zc3_E_D_A 8zc3_Q_M_B 8zc3_R_N_C
cluster_714	1afv_H_L_A 1afv_K_M_B
cluster_715	1ce1_H_L_P
cluster_716	1egj_H_L_A
cluster_717	1f90_H_L_E
cluster_718	1fns_H_L_A 1oak_H_L_A 4zxb_A_B_E
cluster_719	1fpt_H_L_P 3j3o_H_L_1 3j3p_H_L_1
cluster_720	1frg_H_L_P
cluster_721	1fsk_C_B_A 1fsk_F_E_D 1fsk_I_H_G 1fsk_L_K_J
cluster_722	1him_L_H_P 1him_M_J_R 1hin_H_L_P 1ifh_H_L_P
cluster_723	1pz5_B_A_C
cluster_724	1yy9_D_C_A 4kro_D_C_A 4krp_D_C_A 6aru_C_B_A
cluster_725	2dd8_H_L_S
cluster_726	2h1p_H_L_P
cluster_727	2hfg_H_L_R
cluster_728	2j6e_H_L_A 2j6e_I_M_B
cluster_729	2r0l_H_L_A 5bo1_H_L_B
cluster_730	2zjs_H_L_Y
cluster_731	3gi8_H_L_C 3gi9_H_L_C
cluster_732	3hr5_B_A_S 3hr5_H_L_R 3hr5_I_P_T 3hr5_J_Q_V
cluster_733	3j70_A_B_D 3j70_M_N_P 3j70_R_S_U 3jwd_H_L_A 3jwd_P_O_B 3jwo_H_L_A 4dvr_H_L_G
cluster_734	3l95_B_A_X 3l95_H_L_Y
cluster_735	3mxw_H_L_A
cluster_736	3o41_A_B_C 3o41_H_L_P 3o45_A_B_C 3o45_H_L_P
cluster_737	3pp4_H_L_P
cluster_738	3qnz_B_A_C 3qo0_B_A_C
cluster_739	3so3_C_B_A
cluster_740	3uaj_C_D_B 3uaj_H_L_A 3uc0_H_L_A 3uc0_I_M_B
cluster_741	3v6o_C_E_A 3v6o_D_F_B
cluster_742	3v7a_E_H_A 3v7a_F_G_B
cluster_743	4cni_A_B_D 4cni_H_L_C
cluster_744	4dag_H_L_A
cluster_745	4dke_H_L_A 4dke_I_M_B
cluster_746	4f2m_A_B_E 4f2m_C_D_F
cluster_747	4g3y_H_L_C
cluster_748	4g6m_H_L_A
cluster_749	4hc1_H_L_A 4hc1_M_N_B
cluster_750	4ij3_C_B_A 5d96_C_B_A 5d96_J_I_D
cluster_751	4j8r_B_A_I 4j8r_D_C_J
cluster_752	4k9e_H_L_C
cluster_753	4lmq_H_L_D
cluster_754	4m5z_H_L_A
cluster_755	4p3c_H_L_M 4p3d_A_B_C 4p3d_H_L_M 4qxu_H_L_K
cluster_756	4r4f_H_L_A 4r4h_H_L_A 4r4n_F_G_E 4r4n_T_U_S
cluster_757	4tqe_H_L_A
cluster_758	4ydv_B_A_Q 4ydv_H_L_P
cluster_759	5anm_B_A_G 5anm_D_C_E 5anm_H_L_F
cluster_760	5cd5_C_D_A
cluster_761	5f96_H_L_G 7t9t_C_D_A 7t9t_G_H_E 7t9t_K_L_I 8sxj_C_D_A 8sxj_G_H_E 8sxj_K_L_I
cluster_762	5f9o_H_L_G
cluster_763	5f9w_B_C_A 5f9w_H_L_G
cluster_764	5b8c_B_A_C 5b8c_E_D_F 5b8c_H_G_I 5b8c_K_J_L 5ggs_A_B_Z 5ggs_C_D_Y 5jxe_G_F_A
cluster_765	5h35_A_B_C 5h35_F_G_E 5h35_H_I_D
cluster_766	5kqv_C_D_E 5kqv_P_Q_F
cluster_767	5kvf_H_L_E
cluster_768	5mu0_A_B_Q 5mu0_C_D_R 5mu0_E_F_S 5mu0_G_H_T 5mu0_I_J_U 5mu0_K_L_V 5mu0_M_N_W 5mu0_O_P_X 5mu2_A_B_X 5mu2_C_D_Q 5mu2_E_F_R 5mu2_G_H_S 5mu2_I_J_T 5mu2_K_L_U 5mu2_M_N_V 5mu2_O_P_W 5mub_A_B_X 5mub_C_D_E 5mub_F_G_H 5mub_I_J_K 5mub_L_M_N 5mub_O_P_Q 5mub_R_S_T 5mub_U_V_W 5mv3_A_B_X 5mv3_C_D_E 5mv3_F_G_H 5mv3_I_J_K 5mv3_L_M_N 5mv3_O_P_Q 5mv3_R_S_T 5mv3_U_V_W 5mv4_A_B_X 5mv4_C_D_E 5mv4_F_G_H 5mv4_I_J_K 5mv4_L_M_N 5mv4_O_P_Q 5mv4_R_S_T 5mv4_U_V_W
cluster_769	5n7w_A_B_Y 5n7w_H_L_X
cluster_770	5ob5_H_L_A
cluster_771	5v6l_H_L_P 5v6l_I_M_Q
cluster_772	5w1m_B_A_R 5w1m_D_C_T 5w1m_F_E_Q 5w1m_H_G_S
cluster_773	5wb9_H_L_G
cluster_774	5xjm_H_L_A
cluster_775	5zia_A_B_C 5zia_D_E_F 5zia_G_L_R 5zia_H_I_J 5zia_K_M_N 5zia_O_P_Q
cluster_776	6b0a_H_L_A
cluster_777	6bkb_H_L_E 6uyg_H_L_E
cluster_778	6blh_H_L_G
cluster_779	6bli_A_B_C 6bli_D_E_F 6bli_G_H_I 6bli_J_K_L
cluster_780	6bzu_A_B_J 6bzu_C_D_I 6bzu_G_H_L 6bzv_A_B_I 6bzv_C_D_J 6bzv_E_F_K
cluster_781	6df1_H_L_A 6df2_B_A_C 6df2_H_L_D
cluster_782	6dfi_H_L_E 6dfj_H_L_E
cluster_783	5y9j_H_L_A 6fxn_D_E_A 6fxn_F_G_B 6fxn_H_I_C 6fxn_M_N_J 6fxn_O_P_L 6fxn_Q_R_K
cluster_784	6iap_H_L_A
cluster_785	6ii4_E_F_C 6ii4_H_L_A
cluster_786	6jjp_A_B_C 6jjp_D_E_F
cluster_787	6l62_H_L_A
cluster_788	6mfp_C_D_A 6mfp_H_L_G
cluster_789	6mtt_H_L_P
cluster_790	6ogx_C_D_G 6okn_A_B_R 6okn_C_D_E
cluster_791	6pds_B_A_C 6pds_H_L_G
cluster_792	6phb_B_A_E 6phb_D_C_I
cluster_793	6pxh_C_D_A 6pxh_H_L_B 6pz8_C_G_J 6pz8_D_K_F 6pz8_H_L_B
cluster_794	6ubi_A_B_C 6ubi_D_E_F
cluster_795	6uda_C_D_A 6uda_G_H_E 6uda_K_L_I
cluster_796	6uud_H_L_A
cluster_797	6vca_E_F_A 6vca_H_L_B 6vca_K_J_C 6vca_P_O_D
cluster_798	6w4s_H_L_F 6wbv_H_L_A
cluster_799	6wno_B_C_A 6wno_E_F_D
cluster_800	6wo5_G_I_F 6wo5_H_L_E
cluster_801	6x1s_A_B_K 6x1s_C_D_J 6x1s_E_F_G 6x1s_H_L_I
cluster_802	6xc4_H_L_A 6xc4_X_Y_Z 6xc7_C_D_A 7kn6_H_L_A 7kn7_H_L_A
cluster_803	6yxk_A_B_C
cluster_804	7bej_H_L_E 7bek_H_L_E 7nd6_H_L_B 7qny_H_L_E
cluster_805	7cdi_H_L_E 7ch4_H_L_R 7chb_H_L_R 7che_H_L_R 7chf_H_L_R 7chp_H_L_E 7e5y_C_B_A 7e8m_H_L_E 7f7h_A_B_E 7f7h_C_D_F 7swo_H_L_A 7wbz_H_L_A 7x1m_C_D_M 7x2k_H_L_E 8gx9_H_F_E 8gx9_I_L_A
cluster_806	7cjf_A_B_C
cluster_807	7cvy_D_E_B 7cvy_I_J_G 7cvy_N_O_L 7cvy_S_T_Q
cluster_808	7dfp_C_B_A
cluster_809	7e5o_H_L_A 7kqe_H_L_A 7kqe_I_N_B 7kqe_J_M_C 7m7b_H_L_A
cluster_810	7d6i_B_C_A 7jva_H_L_A 7jvc_C_D_B 7jvc_F_G_E 7jvc_H_L_A
cluster_811	7kqb_H_L_A 7kqb_K_J_C
cluster_812	7l5j_W_L_B 7l5j_Y_X_A
cluster_813	7lfa_B_D_A 7lfa_H_L_C
cluster_814	7ll2_H_L_A 7ll2_I_J_C 7ll2_K_M_E
cluster_815	7m3i_A_B_C
cluster_816	7m51_H_L_A 7m52_H_L_A 7m53_H_L_A 7m55_H_L_A
cluster_817	6txz_I_M_B 6txz_J_N_C 6txz_K_O_D 7mzi_H_L_A 7mzj_F_E_A
cluster_818	7n0a_B_A_C
cluster_819	7nks_C_D_B 7nks_H_L_A 7nrh_H_L_A
cluster_820	7np1_H_L_A 7np1_I_M_B 7np1_J_N_C 7np1_K_O_D
cluster_821	7o30_B_A_Q 7o30_H_L_P
cluster_822	7or9_H_L_E
cluster_823	7pry_C_D_I 7pry_H_L_E 7q9p_E_F_B 7q9p_H_L_A 7q9p_J_K_C
cluster_824	7ps0_B_C_A 7ps0_H_L_E
cluster_825	7rd3_A_B_C 7rd3_H_L_D
cluster_826	7ucf_D_E_G 7ucg_C_F_I 7ucg_D_E_G 7ucg_N_O_P 7ugp_G_J_A 7ugp_H_K_B 7ugp_I_L_C 7ugq_G_J_A 7ugq_H_K_B 7ugq_I_L_C
cluster_827	7uzb_H_L_A
cluster_828	7vgr_D_C_A 7vgr_F_E_B
cluster_829	7vmu_A_a_B
cluster_830	7w9e_D_E_C 7w9f_A_B_E
cluster_831	7wg3_E_A_I 7wg3_F_B_J 7wg3_G_C_K 7wg3_H_D_L
cluster_832	7bei_H_L_E 7e5y_H_L_R 7nd5_H_L_B 7zf8_H_L_E 7zf9_A_B_C 7zf9_H_L_E 7zfa_O_P_B 7zfa_Q_R_A 7zfa_S_T_D 7zfa_X_Y_C
cluster_833	8dcm_A_B_C
cluster_834	8gpx_H_L_E
cluster_835	8ivw_B_C_A 8ivw_E_F_D 8ivw_H_I_G 8ivw_K_L_J
cluster_836	1e6j_H_L_P
cluster_837	1i9r_H_L_A 1i9r_K_M_B 1i9r_X_Y_C
cluster_838	1k4c_A_B_C 1k4d_A_B_C 1r3i_H_L_C 1r3j_B_A_C 1r3k_B_A_C 1r3l_B_A_C 1s5h_B_A_C 1zwi_A_B_C 2atk_A_B_C 2bob_A_B_C 2boc_A_B_C 2dwd_A_B_C 2dwe_A_B_C 2h8p_A_B_C 2hfe_A_B_C 2hg5_A_B_C 2hjf_A_B_C 2hvj_A_B_C 2hvk_A_B_C 2ih1_A_B_C 2ih3_A_B_C 2itc_A_B_C 2itd_A_B_C 2jk5_A_B_C 2nlj_B_A_C 2p7t_A_B_C 2w0f_A_B_C 3f5w_A_B_C 3f7v_A_B_C 3f7y_A_B_C 3fb5_A_B_C 3fb6_A_B_C 3fb7_A_B_C 3fb8_A_B_C 3gb7_A_B_C 3hpl_A_B_C 3iga_A_B_C 3ogc_A_B_C 3or6_A_B_C 3or7_A_B_C 3stl_A_B_C 3stz_A_B_C 4lbe_A_B_C 4lcu_A_B_C 4msw_A_B_C 4uuj_A_B_C 5e1a_A_B_C 5ebl_A_B_C 5ebm_A_B_C 5ebw_A_B_C 5ec1_A_B_C 5ec2_A_B_C 5j9p_A_B_C 5vk6_A_B_C 5vke_A_B_C 5vkh_A_B_C 6by2_A_B_C 6by3_A_B_C 6nfu_A_B_C 6nfv_A_B_C 6pa0_A_B_C 6w0a_A_B_C 6w0b_A_B_C 6w0c_A_B_C 6w0d_A_B_C 6w0e_A_B_C 6w0f_A_B_C 6w0g_A_B_C 6w0h_A_B_C 6w0i_A_B_C 6w0j_A_B_C 7m2h_A_B_C 7m2h_D_E_F 7m2i_A_B_C 7m2j_A_B_C 7mhr_A_B_C 7mhx_A_B_C 7rp0_A_B_C 7sqw_A_B_C
cluster_839	1lk3_H_L_A 1lk3_I_M_B
cluster_840	1mhp_H_L_A 1mhp_X_Y_B
cluster_841	1ob1_B_A_C 1ob1_E_D_F
cluster_842	1orq_B_A_C
cluster_843	1qkz_H_L_P
cluster_844	1sy6_H_L_A
cluster_845	1ztx_H_L_E
cluster_846	2a6d_B_A_P 2a6i_B_A_P 2a6k_H_L_P 4bh7_B_A_P 4bh8_B_A_P
cluster_847	2fjh_B_A_W 2fjh_H_L_V
cluster_848	2i9l_B_A_I 2i9l_D_C_J 2i9l_F_E_K 2i9l_H_G_L
